"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1642","checking the copyright licence","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","927","Conforming the current page is register page","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","2337","correct login","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","1958","fullname and password only","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","0","invalid email format","chromium","2026-03-22","skipped","2026-03-22","","register.spec.js","",""
"","1713","Checking visibility of price estimator on login page","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","1751","fullname with special characters","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","2106","has title","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","2700","email only validation","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","1329","checking the contact page visibility","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","1608","Trying to create account with fullname and email","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","1594","age below 18 and missing password","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","0","invalid email and valid password","chromium","2026-03-22","skipped","2026-03-22","","loginModule.spec.js","",""
"","2512","only age entered","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","1525","fullname and age only","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","2264","signup button is visible","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","4654","checking for password whose length is less than 6 characters","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","1617","email and password only","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","3239","get started link","chromium","2026-03-22","passed","2026-03-22","","example.spec.js","",""
"","2420","Trying to register again with same details","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","2524","Enter all valid details but age should be below 20","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","1873","checking hyperlink of create account","chromium","2026-03-22","passed","2026-03-22","","loginModule.spec.js","",""
"","1680","trying to register with only fullname","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","2020","password less than 6 characters","chromium","2026-03-22","passed","2026-03-22","","register.spec.js","",""
"","2814","has title","chromium","2026-03-22","passed","2026-03-22","","example.spec.js","",""
